,address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated,data_time
193,Моховая 11,169,1,1,1280741941,https://vk.com/images/places/clubs.png,55.756184,37.61132,194,Дума,4,1485188800.0,2010-08-02 13:39:01
195,Сельскохозяйственная 15К3,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.836686,37.638144,196,Сирена,4,1381481809.0,2010-08-02 13:39:01
196,Лесная 43,8,1,1,1280741941,https://vk.com/images/places/clubs.png,55.780709,37.590506,197,Поляна,4,1369935530.0,2010-08-02 13:39:01
198,Новослободская 36К1,13,1,1,1280741941,https://vk.com/images/places/clubs.png,55.784703,37.59648,199,New York Bar & Lounge,4,1391200362.0,2010-08-02 13:39:01
200,Покровка 17,215,1,1,1280741941,https://vk.com/images/places/clubs.png,55.759653,37.645258,201,Cuba Libre,4,1485662302.0,2010-08-02 13:39:01
206,Ниж.Сусальный пер. 5,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.761338,37.663033,207,Aura,4,1395698910.0,2010-08-02 13:39:01
215,Льва Толстого 18б,9,1,1,1280741941,https://vk.com/images/places/clubs.png,55.735241,37.585368,216,Vodka Bar,4,1413094972.0,2010-08-02 13:39:01
219,Грина 11б,7,1,1,1280741941,https://vk.com/images/places/clubs.png,55.566909,37.566656,220,Индиго,4,1420140995.0,2010-08-02 13:39:01
220,Дербеневская 20,22,1,1,1280741941,https://vk.com/images/places/clubs.png,55.721594,37.647738,221,One Rock,4,1437300652.0,2010-08-02 13:39:01
221,Кронштадтский б-р 9К3,7,1,1,1280741941,https://vk.com/images/places/clubs.png,55.84262,37.489401,222,Майер,4,1431688834.0,2010-08-02 13:39:01
223,Олимпийский просп. 16К1,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.78116,37.626471,224,Удар,4,1370455079.0,2010-08-02 13:39:01
224,Чистопрудный б-р 25,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.760104,37.646875,225,Рублев,4,1468615210.0,2010-08-02 13:39:01
226,Юных Ленинцев 52,7,1,1,1280741941,https://vk.com/images/places/clubs.png,55.699786,37.76548,227,Visota,4,1455452772.0,2010-08-02 13:39:01
232,Смоленский б-р 7К1,2,1,1,1280741941,https://vk.com/images/places/clubs.png,55.73999,37.58438,233,JazzLife,4,1346087218.0,2010-08-02 13:39:01
234,Бакунинская К2,8,1,1,1280741941,https://vk.com/images/places/clubs.png,55.773191,37.679394,235,G-Lounge,4,1384041935.0,2010-08-02 13:39:01
279,просп. Академика Сахарова 14,59,1,1,1280741941,https://vk.com/images/places/clubs.png,55.769135,37.643076,280,Каприз,4,1449885678.0,2010-08-02 13:39:01
282,Вавилова 69,7,1,1,1280741941,https://vk.com/images/places/clubs.png,55.68296,37.55151,283,Бакара,4,1395902600.0,2010-08-02 13:39:01
293,Потаповский пер. 5К2,8,1,1,1280741941,https://vk.com/images/places/clubs.png,55.761674,37.640632,294,Louvre,4,1399915185.0,2010-08-02 13:39:01
295,Славянская пл. 2К1,17,1,1,1280741941,https://vk.com/images/places/clubs.png,55.75357,37.635148,296,"Sorry, Babushka",4,1401891819.0,2010-08-02 13:39:01
296,корп. 532 7,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.787725,37.616036,297,In Time,4,1353095035.0,2010-08-02 13:39:01
297,Ярцевская 25а,6,1,1,1280741941,https://vk.com/images/places/clubs.png,55.740999,37.415505,298,Юрта,4,1396353977.0,2010-08-02 13:39:01
298,Казакова 8,6,1,1,1280741941,https://vk.com/images/places/clubs.png,55.76247,37.66026,299,Ikra,4,1399717554.0,2010-08-02 13:39:01
299,М.Кисловский пер. 6,4,1,1,1280741941,https://vk.com/images/places/clubs.png,55.754735,37.603478,300,Подмосковье,4,1453722182.0,2010-08-02 13:39:01
301,Б.Лубянка 13К16,4,1,1,1280741941,https://vk.com/images/places/clubs.png,55.764111,37.628855,302,Жесть,4,1451484467.0,2010-08-02 13:39:01
302,Певческий пер. 6,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.751796,37.641719,303,Экспедиция,4,1460323135.0,2010-08-02 13:39:01
303,дер. Жуковка 8,8,1,1,1280741941,https://vk.com/images/places/clubs.png,55.735925,37.455516,304,Алтайна,4,1352914797.0,2010-08-02 13:39:01
304,Покровка 16К1,112,1,1,1280741941,https://vk.com/images/places/clubs.png,55.758651,37.64604,305,"Кафе, прежде известное как «Кризис жанра»",4,1488915947.0,2010-08-02 13:39:01
305,Сергея Макеева 9К1,2,1,1,1280741941,https://vk.com/images/places/clubs.png,55.757182,37.550378,306,О2ТВ,4,1385043476.0,2010-08-02 13:39:01
306,Минская 2г,33,1,1,1280741941,https://vk.com/images/places/clubs.png,55.734004,37.489904,307,Кутузов-холл,4,1487401318.0,2010-08-02 13:39:01
307,Семеновская пл. ,7,1,1,1280741941,https://vk.com/images/places/clubs.png,55.832217,37.629313,308,Крамбамбуля,4,1344102306.0,2010-08-02 13:39:01
309,Милютинский пер. 13,4,1,1,1280741941,https://vk.com/images/places/clubs.png,55.764921,37.63182,310,Hardcore,4,1322664436.0,2010-08-02 13:39:01
312,Комсомольский просп. 28,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.727019,37.579681,313,Арагоста,4,1322197698.0,2010-08-02 13:39:01
314,Спиридоньевский пер. 2,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.761654,37.593381,315,Экипаж,4,1379715710.0,2010-08-02 13:39:01
315,Б.Ордынка 40К1,5,1,1,1280741941,https://vk.com/images/places/clubs.png,55.736584,37.623905,316,Cotton Club,4,1347824369.0,2010-08-02 13:39:01
316,Кировоградская 36а,9,1,1,1280741941,https://vk.com/images/places/clubs.png,55.603202,37.599067,317,Goodwin,4,1446486781.0,2010-08-02 13:39:01
317,Гиляровского 4К2,313,1,1,1280741941,https://vk.com/images/places/clubs.png,55.77472,37.630751,318,Эгоистка,4,1488942280.0,2010-08-02 13:39:01
318,Дмитровское ш. 27,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.826554,37.571318,319,Cadilluck,4,1401088585.0,2010-08-02 13:39:01
319,Серпуховский Вал 17,5,1,1,1280741941,https://vk.com/images/places/clubs.png,55.710824,37.613207,320,Живой уголок,4,1377285220.0,2010-08-02 13:39:01
320,Рождественка 6К9,40,1,1,1280741941,https://vk.com/images/places/clubs.png,55.760859,37.623834,321,Spirit,4,1432737363.0,2010-08-02 13:39:01
321,Гарибальди 19,21,1,1,1280741941,https://vk.com/images/places/clubs.png,55.672686,37.549875,322,Оркестрион,4,1485599642.0,2010-08-02 13:39:01
322,Пушечная 9К6,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.760824,37.624462,323,Арт`Эриа,4,,2010-08-02 13:39:01
323,Трубниковский пер. 11,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.753215,37.586356,324,One More,4,1371390691.0,2010-08-02 13:39:01
324,Стромынка 6,6,1,1,1280741941,https://vk.com/images/places/clubs.png,55.791253,37.687336,325,Бакинский дворик,4,1487459206.0,2010-08-02 13:39:01
325,1-я Тверская-Ямская 9,5,1,1,1280741941,https://vk.com/images/places/clubs.png,55.772097,37.591916,326,Sungate,4,1368653912.0,2010-08-02 13:39:01
327,Варшавское ш. 135а,7,1,1,1280741941,https://vk.com/images/places/clubs.png,55.59572,37.602651,328,Миг-21,4,1422793454.0,2010-08-02 13:39:01
328,1-я Останкинская 53,65,1,1,1280741941,https://vk.com/images/places/clubs.png,55.824314,37.632053,329,Mezzo Forte,4,1487347279.0,2010-08-02 13:39:01
329,Мясницкая 13,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.762449,37.632395,330,Starz,4,1355003759.0,2010-08-02 13:39:01
331,Милютинский пер. 6К1,2,1,1,1280741941,https://vk.com/images/places/clubs.png,55.762019,37.63222,332,База,4,1341426749.0,2010-08-02 13:39:01
332,Олимпийский просп. 16К1,9,1,1,1280741941,https://vk.com/images/places/clubs.png,55.781203,37.626396,333,Анфилада,4,1414142729.0,2010-08-02 13:39:01
333,Пушечная 9К6,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.760824,37.624462,334,Hungry Duck,4,,2010-08-02 13:39:01
335,Правды 1,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.783149,37.575172,336,Jimi,4,1352232950.0,2010-08-02 13:39:01
341,Варшавское ш. 27,57,1,1,1280741941,https://vk.com/images/places/clubs.png,55.69352,37.622046,342,Нэо,4,1488591127.0,2010-08-02 13:39:01
363,Балаклавский просп. 7,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.640772,37.603289,364,Дион,4,1323477549.0,2010-08-02 13:39:01
365,ЦПКиО им. Горького 3,17,1,1,1280741941,https://vk.com/images/places/clubs.png,55.744566,37.651897,366,Высоцкий,4,1377712170.0,2010-08-02 13:39:01
375,Коломенская 23К25,86,1,1,1280741941,https://vk.com/images/places/clubs.png,55.770861,37.631981,376,Сахар,4,1440283148.0,2010-08-02 13:39:01
380,Староваганьковский пер. 9,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.750905,37.606227,381,Алоэ,4,,2010-08-02 13:39:01
392,Угличская 12К2,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.896797,37.568965,393,Musik,4,1354187469.0,2010-08-02 13:39:01
393,"Кузнецкий Мост, 17",7,1,1,1280741941,https://vk.com/images/places/clubs.png,55.784091,37.584757,394,Про100 бар,4,1405284602.0,2010-08-02 13:39:01
394,Средняя 8а,4,1,1,1280741941,https://vk.com/images/places/clubs.png,55.603258,37.731164,395,99,4,1354256146.0,2010-08-02 13:39:01
397,Забелина 1,7,1,1,1280741941,https://vk.com/images/places/clubs.png,55.754466,37.637267,398,Ультра,4,1417468759.0,2010-08-02 13:39:01
405,Удальцова 75а,15,1,1,1280741941,https://vk.com/images/places/clubs.png,55.678062,37.495797,406,Folk Club,4,1489129415.0,2010-08-02 13:39:01
453,Москворечье 31К2,2,1,1,1280741941,https://vk.com/images/places/clubs.png,55.645857,37.659811,454,Шансон,4,1347551631.0,2010-08-02 13:39:01
454,Арбат 20,46,1,1,1280741941,https://vk.com/images/places/clubs.png,55.75052,37.593273,455,Doolin House,4,1488906333.0,2010-08-02 13:39:01
455,Земляной Вал 50,31,1,1,1280741941,https://vk.com/images/places/clubs.png,55.7513,37.654161,456,Концерт,4,1454149748.0,2010-08-02 13:39:01
457,Дмитровское ш. 1К27,10,1,1,1280741941,https://vk.com/images/places/clubs.png,55.810683,37.578451,458,Молодая гвардия,4,1485714692.0,2010-08-02 13:39:01
459,Маяковского 51а,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.732154,37.620609,460,Bells,4,1354376162.0,2010-08-02 13:39:01
461,Столешников пер. 7К1,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.763012,37.61441,462,Пластилин,4,1337691953.0,2010-08-02 13:39:01
463,В.Масловка 21,6,1,1,1280741941,https://vk.com/images/places/clubs.png,55.795894,37.560529,464,Кактус,4,1431166960.0,2010-08-02 13:39:01
464,Радищева 19К2,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.664228,37.660943,465,Zona,4,1416687404.0,2010-08-02 13:39:01
465,Октябрьский 1,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.774836,37.609326,466,Эгоист,4,1342803492.0,2010-08-02 13:39:01
467,Ленинский просп. 6,19,1,1,1280741941,https://vk.com/images/places/clubs.png,55.727176,37.606936,468,Точка,4,1366997514.0,2010-08-02 13:39:01
469,Страстной б-р 8а,18,1,1,1280741941,https://vk.com/images/places/clubs.png,55.766258,37.610767,470,VIP,4,1393026678.0,2010-08-02 13:39:01
474,3-я ул. Ямского поля 15,95,1,1,1280741941,https://vk.com/images/places/clubs.png,55.782529,37.579306,475,Golden Girls,4,1485406267.0,2010-08-02 13:39:01
475,Куусинена 19а,8,1,1,1280741941,https://vk.com/images/places/clubs.png,55.788019,37.51123,476,Душа и тело,4,1460811356.0,2010-08-02 13:39:01
476,Климентовский пер. 10К1,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.741039,37.627777,477,Апшу,4,1398891496.0,2010-08-02 13:39:01
477,Новослободская 23,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.781474,37.598366,478,Мандат,4,1347167605.0,2010-08-02 13:39:01
478,2-й Колобовский пер. 12,8,1,1,1280741941,https://vk.com/images/places/clubs.png,55.769266,37.616431,479,Элефант,4,1467642584.0,2010-08-02 13:39:01
479,Строгинское ш. ,5,1,1,1280741941,https://vk.com/images/places/clubs.png,55.753559,37.609218,480,Beach Club,4,1466588216.0,2010-08-02 13:39:01
480,Петровка 18К2,6,1,1,1280741968,https://vk.com/images/places/clubs.png,55.765979,37.615587,481,911 Aurora,4,1425237512.0,2010-08-02 13:39:28
481,Спиридоновка 40К26,11,1,1,1280741968,https://vk.com/images/places/clubs.png,55.76328,37.58862,482,Эгоист Голд,4,1465546904.0,2010-08-02 13:39:28
482,Каланчевская 15а,2,1,1,1280741968,https://vk.com/images/places/clubs.png,55.77233,37.651834,483,Бард-ретро,4,1280930737.0,2010-08-02 13:39:28
484,Новорязанская 26,3,1,1,1280741968,https://vk.com/images/places/clubs.png,55.771763,37.66565,485,Контакт,4,1355375067.0,2010-08-02 13:39:28
486,Мироновская 2,4,1,1,1280741968,https://vk.com/images/places/clubs.png,55.785382,37.734237,487,Atmosfera,4,1461173338.0,2010-08-02 13:39:28
490,Б.Лубянка 24,192,1,1,1280741968,https://vk.com/images/places/clubs.png,55.765301,37.63111,491,Скромное обаяние буржуазии,4,1450126141.0,2010-08-02 13:39:28
495,Болотная наб. 3К1,476,1,1,1280741968,https://vk.com/images/places/clubs.png,55.739787,37.610125,496,Rolling Stone Bar & Tattoo,4,1488943771.0,2010-08-02 13:39:28
499,Соловьиный пр. 4а,1,1,1,1280741968,https://vk.com/images/places/clubs.png,55.616066,37.550199,500,Club 31,4,1293533394.0,2010-08-02 13:39:28
500,Декабристов 4К1,5,1,1,1280741968,https://vk.com/images/places/clubs.png,55.86748,37.589985,501,Action,4,1432961854.0,2010-08-02 13:39:28
501,Наметкина 9,3,1,1,1280741968,https://vk.com/images/places/clubs.png,55.664177,37.550899,502,Колизей,4,1479579210.0,2010-08-02 13:39:28
502,Павловское ш. 13,0,1,1,1280741968,https://vk.com/images/places/clubs.png,55.740771,37.660449,503,Табуретка,4,,2010-08-02 13:39:28
503,просп. Мира 26,9,1,1,1280741968,https://vk.com/images/places/clubs.png,55.777611,37.635027,504,Мадам Галифэ,4,1426441435.0,2010-08-02 13:39:28
504,Космодамианская наб. 2,50,1,1,1280741968,https://vk.com/images/places/clubs.png,55.745595,37.638773,505,Fabrique,4,1477421493.0,2010-08-02 13:39:28
506,Церковная 2К1,0,1,1,1280741968,https://vk.com/images/places/clubs.png,55.749121,37.662389,507,Сол,4,,2010-08-02 13:39:28
507,Ленинградский просп. 24а,13,1,1,1280741968,https://vk.com/images/places/clubs.png,55.783251,37.574336,508,Ленинград,4,1405196510.0,2010-08-02 13:39:28
508,Столешников пер. 11,211,1,1,1280741968,https://vk.com/images/places/clubs.png,55.763366,37.61583,509,Gogol`,4,1487881835.0,2010-08-02 13:39:28
510,Кривоколенный пер. 10К5,40,1,1,1280741968,https://vk.com/images/places/clubs.png,55.761664,37.636015,511,Bilingua,4,1367941914.0,2010-08-02 13:39:28
511,Складочная 1,39,1,1,1280741968,https://vk.com/images/places/clubs.png,55.798839,37.59321,512,Gaudi Club,4,1418046565.0,2010-08-02 13:39:28
513,М.Ордынка 37К1,19,1,1,1280741968,https://vk.com/images/places/clubs.png,55.732626,37.625774,514,Jet Set,4,1445918660.0,2010-08-02 13:39:28
515,Новослободская 14К4,5,1,1,1280741968,https://vk.com/images/places/clubs.png,55.780841,37.59992,516,Loft Bar,4,1355751312.0,2010-08-02 13:39:28
516,Правды 21К2,23,1,1,1280741968,https://vk.com/images/places/clubs.png,55.788312,37.580202,517,Братья Блюз,4,1472423494.0,2010-08-02 13:39:28
517,Новосущевский пер. 6,5,1,1,1280741968,https://vk.com/images/places/clubs.png,55.790018,37.60549,518,Скворечник,4,1394789125.0,2010-08-02 13:39:28
518,Академический просп. К110,159,1,1,1280741968,https://vk.com/images/places/clubs.png,55.765534,37.472584,519,Sexton,4,1488229843.0,2010-08-02 13:39:28
519,наб. Северной Двины 44,10,1,1,1280741968,https://vk.com/images/places/clubs.png,55.722771,37.626762,520,Инкогнито,4,1446245683.0,2010-08-02 13:39:28
520,Б.Овчинниковский пер. 24,1,1,1,1280741968,https://vk.com/images/places/clubs.png,55.74412,37.628765,521,Центр авторской песни,4,1315584707.0,2010-08-02 13:39:28
521,Мясницкая К3,20,1,1,1280741968,https://vk.com/images/places/clubs.png,55.76019,37.629771,522,Петрович,4,1482490048.0,2010-08-02 13:39:28
